date,close
2020-12-09,48.05
2020-12-10,48.065
2020-12-11,48.07
2020-12-14,48.05
2020-12-15,48.063
2020-12-16,48.066
2020-12-17,48.045
2020-12-18,48.085
2020-12-21,48.085
2020-12-22,48.095
2020-12-23,48.07
2020-12-28,48.055
2020-12-29,48.023
2021-01-04,48.02
2021-01-05,48.065
2021-01-06,48.033
2021-01-07,48.07
2021-01-08,48.088
2021-01-11,48.1
2021-01-12,48.051
2021-01-13,48.069
2021-01-14,48.07
2021-01-15,48.065
2021-01-18,48.075
2021-01-19,48.078
2021-01-20,48.06
2021-01-21,48.054
2021-01-22,48.06
2021-01-25,48.079
2021-01-26,48.08
2021-01-27,48.075
2021-01-28,48.11
2021-01-29,48.08
2021-02-01,48.065
2021-02-02,48.053
2021-02-03,48.019
2021-02-04,48.08
2021-02-05,48.07
2021-02-08,48.046
2021-02-09,48.049
2021-02-10,48.038
2021-02-11,48.045
2021-02-15,47.93
2021-02-16,48.25
2021-02-17,48.38
2021-02-18,48.5
2021-02-19,48.451
2021-02-22,48.7
2021-02-23,48.64
2021-02-24,48.605
2021-02-26,48.59
2021-03-01,48.59
2021-03-02,48.565
2021-03-03,48.48
2021-03-04,48.62
2021-03-05,48.56
2021-03-08,48.561
2021-03-09,48.48
2021-03-10,48.6
2021-03-11,48.5
2021-03-12,48.455
2021-03-15,48.54
2021-03-16,48.635
2021-03-17,48.725
2021-03-18,48.68
2021-03-19,48.62
2021-03-22,48.58
2021-03-23,48.631
2021-03-24,48.665
2021-03-25,48.58
2021-03-26,48.49
2021-03-29,48.415
2021-03-30,48.545
2021-03-31,48.53
2021-04-05,48.635
2021-04-06,48.57
2021-04-07,48.585
2021-04-08,48.54
2021-04-09,48.56
2021-04-12,48.555
2021-04-13,48.499
2021-04-14,48.44
2021-04-15,48.38
2021-04-16,48.35
2021-04-19,48.32
2021-04-20,48.45
2021-04-21,48.41
2021-04-22,48.41
2021-04-23,48.381
2021-04-26,48.39
2021-04-27,48.381
2021-04-28,48.477
2021-04-29,48.315
2021-04-30,48.1
2021-05-03,48.05
2021-05-04,48.038
2021-05-05,48.025
2021-05-06,47.98
2021-05-07,47.855
2021-05-10,47.865
2021-05-11,47.81
2021-05-12,47.815
2021-05-14,47.81
2021-05-17,47.855
2021-05-18,47.805
2021-05-19,47.875
2021-05-20,47.94
2021-05-21,47.945
2021-05-24,48.065
2021-05-25,48.135
2021-05-26,48.15
2021-05-27,47.985
2021-05-28,47.8
2021-05-31,47.695
2021-06-01,47.76
2021-06-02,47.82
2021-06-03,47.825
2021-06-04,47.75
2021-06-07,47.66
2021-06-08,47.72
2021-06-09,47.731
2021-06-10,47.765
2021-06-11,47.7
2021-06-14,47.89
2021-06-15,48.03
2021-06-16,48.09
2021-06-17,48.38
2021-06-18,48.43
2021-06-21,48.695
2021-06-22,48.7
2021-06-23,48.805
2021-06-24,48.735
2021-06-25,48.481
2021-06-28,48.645
2021-06-29,48.5
2021-06-30,48.8
2021-07-01,49.11
2021-07-02,49.2
2021-07-05,49.24
2021-07-06,49.5
2021-07-07,49.79
2021-07-08,49.875
2021-07-09,50.08
2021-07-12,50.12
2021-07-13,50
2021-07-14,50.3
2021-07-15,50.22
2021-07-16,50.235
2021-07-19,50.34
2021-07-21,50.35
2021-07-22,50.135
2021-07-23,50.34
2021-07-26,50.35
2021-07-27,50.42
2021-07-28,50.37
2021-07-29,50.305
2021-07-30,49.97
2021-08-02,49.9
2021-08-03,49.61
2021-08-04,49.75
2021-08-05,50.235
2021-08-06,50.4
2021-08-09,50.385
2021-08-10,50.395
2021-08-11,50.38
2021-08-12,50.39
2021-08-13,50.481
2021-08-16,50.645
2021-08-17,50.401
2021-08-18,50.43
2021-08-19,50.55
2021-08-20,50.37
2021-08-23,50.27
2021-08-24,50.116
2021-08-25,49.85
2021-08-26,49.98
2021-08-27,49.955
2021-08-31,49.76
2021-09-01,50.07
2021-09-02,49.825
2021-09-03,49.84
2021-09-06,49.925
2021-09-07,50.025
2021-09-08,50.11
2021-09-09,49.92
2021-09-10,49.865
2021-09-13,49.975
2021-09-14,49.91
2021-09-15,49.79
2021-09-16,49.97
2021-09-17,49.95
2021-09-20,50.24
2021-09-21,50.14
2021-09-22,50.27
2021-09-23,50.34
2021-09-24,50.65
2021-09-27,51
2021-09-28,51
2021-09-29,50.865
2021-09-30,51
2021-10-01,50.79
2021-10-04,50.7
2021-10-05,50.65
2021-10-06,50.88
2021-10-07,50.56
2021-10-08,50.58
2021-10-11,50.8
2021-10-12,50.85
2021-10-13,50.655
2021-10-14,50.605
